"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 05 03:37:46 UTC 2023","Tue Sep 05 03:42:21 UTC 2023","274867","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Sep 05 02:46:14 UTC 2023","Tue Sep 05 02:46:17 UTC 2023","2191","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Sep 05 03:23:26 UTC 2023","Tue Sep 05 03:23:28 UTC 2023","2347","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Tue Sep 05 03:16:06 UTC 2023","Tue Sep 05 03:16:34 UTC 2023","27387","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Tue Sep 05 02:31:37 UTC 2023","Tue Sep 05 02:31:40 UTC 2023","3517","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Sep 05 02:45:10 UTC 2023","Tue Sep 05 02:45:14 UTC 2023","3370","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Sep 05 02:45:14 UTC 2023","Tue Sep 05 02:45:27 UTC 2023","13491","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Sep 05 02:20:25 UTC 2023","Tue Sep 05 02:20:30 UTC 2023","5094","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Sep 05 02:17:47 UTC 2023","Tue Sep 05 02:17:47 UTC 2023","54","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Tue Sep 05 04:06:55 UTC 2023","Tue Sep 05 04:07:10 UTC 2023","15023","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Sep 05 03:56:59 UTC 2023","Tue Sep 05 03:57:36 UTC 2023","36646","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Tue Sep 05 03:23:28 UTC 2023","Tue Sep 05 03:23:31 UTC 2023","3099","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Tue Sep 05 03:45:48 UTC 2023","Tue Sep 05 03:46:07 UTC 2023","19574","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Sep 05 02:40:29 UTC 2023","Tue Sep 05 02:40:32 UTC 2023","2316","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Sep 05 02:18:08 UTC 2023","Tue Sep 05 02:18:38 UTC 2023","29740","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Tue Sep 05 02:31:40 UTC 2023","Tue Sep 05 02:31:57 UTC 2023","16315","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Sep 05 02:36:52 UTC 2023","Tue Sep 05 02:37:02 UTC 2023","9975","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Tue Sep 05 04:08:02 UTC 2023","Tue Sep 05 04:08:04 UTC 2023","2551","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Sep 05 02:18:50 UTC 2023","Tue Sep 05 02:19:12 UTC 2023","22612","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Sep 05 03:53:49 UTC 2023","Tue Sep 05 03:54:07 UTC 2023","18231","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Sep 05 02:49:05 UTC 2023","Tue Sep 05 02:49:08 UTC 2023","2302","","6. Company Account","","","","3. Complete Investment Choice",""
